type,name,notice,furigana
プラ製容器,ラーメンのカップ,,ら
プラ製容器,卵のパック,,た
プラ製容器,洗剤のボトル,,せ
プラ製容器,シャンプーのボトル,,し
プラ製容器,菓子袋,,か
プラ製容器,レジ袋,,れ
プラ製容器,商品の外側フィルム,,し
プラ製容器,果物のネット,,く
プラ製容器,ペットボトルのキャップ,,ぺ
プラ製容器,チューブのキャップ,,ち
プラ製容器,食品トレイ,,し
プラ製容器,カレールウのトレイ,,か
もやせる,歯ブラシ,材質はプラスチックでも商品の包装や容器でないもの,は
もやせる,コップ,材質はプラスチックでも商品の包装や容器でないもの,こ
もやせる,おもちゃ,材質はプラスチックでも商品の包装や容器でないもの,お
もやせる,弁当のスプーン,材質はプラスチックでも商品の包装や容器でないもの,べ
もやせる,弁当のフォーク,材質はプラスチックでも商品の包装や容器でないもの,べ
もやせる,洗濯用洗剤の計量スプーン,材質はプラスチックでも商品の包装や容器でないもの,せ
もやせる,ＣＤ,材質はプラスチックでも商品の包装や容器でないもの,し
もやせる,ＣＤケース,材質はプラスチックでも商品の包装や容器でないもの,し
もやせる,ビデオテープ,材質はプラスチックでも商品の包装や容器でないもの,び
もやせる,ストロー,材質はプラスチックでも商品の包装や容器でないもの,す
もやせる,中身が残っているレトルトパック,材質はプラスチックでも商品の包装や容器でないもの,れ
もやせる,中身が残っているトレイ,材質はプラスチックでも商品の包装や容器でないもの,と
もやせる,歯磨き粉容器,洗いにくいもの,は
もやせる,マヨネーズ容器,洗いにくいもの,ま
もやせる,ケチャップ容器,洗いにくいもの,け
もやせる,からし容器,洗いにくいもの,か
もやせる,ラップ,洗いにくいもの,ら
もやせる,納豆の容器（プラ）,洗いにくいもの,な
もやせる,調味料の袋,洗いにくいもの,ち
紙製容器,酒のパック,内側が銀色なもの,さ
紙製容器,ジュースのパック,内側が銀色なもの,じ
古紙・古着,ラップの芯,,ら
古紙・古着,トイレットペーパーの芯,,と
古紙・古着,牛乳パック,,ぎ
古紙・古着,新聞紙,,し
古紙・古着,雑誌,,ざ
もやせる,中身の残っているお菓子箱,,か
もやせる,ピザの箱,出すときに洗いにくいもの,ぴ
もやせる,ハンバーガーの箱,出すときに洗いにくいもの,は
もやせる,納豆の紙容器,出すときに洗いにくいもの,な
もやせる,ポテトフライの箱,出すときに洗いにくいもの,ぽ
もやせる,汚れた紙,,か
もやせる,写真,,し
もやせる,ティッシュ,,て
もやせる,感熱紙,,か
もやせる,カーボン紙,,か
もやせる,下着類,,し
もやせる,汚れた古着,,ふ
もやせる,毛布,着るものではないもの,も
もやせる,シーツ,着るものではないもの,し
もやせる,タオル,着るものではないもの,た
もやせる,布団,着るものではないもの,ふ
金属,使い捨てライター,,ら
金属,アイスピック,,あ
金属,アイロン,,あ
金属,アダプター,,あ
金属,穴あけパンチ,,あ
金属,油こし,,あ
金属,編み機,,あ
金属,アルミサッシ,,あ
金属,アルミレンジフード,,あ
金属,泡だて器,,あ
金属,あんか,,あ
金属,アンプ,,あ
金属,一輪車,,い
金属,腕時計,,う
金属,映写機,,え
金属,ＭＤラジカセ,,え
金属,園芸支柱,,え
金属,鉛筆削り器,,え
金属,オイルヒーター,,お
金属,王冠（びんのキャップ）,,お
金属,オーディオ機器,,お
金属,オーブンレンジトースター,,お
金属,オーブンレンジ,,お
金属,おたま,,お
金属,おもちゃ,,お
金属,おろし金,,お
金属,カーステレオ,,か
金属,カーテンレール,,か
金属,カーナビ,,か
金属,傘,,か
金属,加湿器,,か
金属,ガスコンロ,,か
金属,ガステーブル,,か
金属,ガスストーブ,,か
金属,ガスレンジ,,か
金属,カセットコンロ,,か
金属,カセットボンベ,,か
金属,カセットデッキ,,か
金属,ガソリン携帯缶,,か
金属,カッターナイフ,,か
金属,かなづち,,か
金属,金たわし,,か
金属,鎌,,か
金属,釜,,か
金属,カミソリ,,か
金属,カメラ,,か
金属,缶（飲食用以外）,,か
金属,換気扇,,か
金属,缶きり,,か
金属,乾電池（充電・ボタン電池以外）,,か
金属,キーホルダー,,き
金属,脚立,,き
金属,きり（千枚通し）,,き
金属,金庫（手提げ用）,,き
金属,金属バット,,き
金属,空気入れ,,く
金属,空気清浄器,,く
金属,草刈り機の刃,,く
金属,串,,く
金属,くわ,,く
金属,携帯電話,,け
金属,ゲーム機,,け
金属,牽引用ワイヤー,,け
金属,コード,,こ
金属,コードリール,,こ
金属,コーヒーメーカー,,こ
金属,コピー機,,こ
金属,座椅子,,さ
金属,ざる,,さ
金属,三角コーナー,,さ
金属,サングラス,,さ
金属,ＣＤプレイヤー,,し
金属,ＣＤラジカセ,,し
金属,磁石,,し
金属,室内アンテナ,,し
金属,ジャッキ,,し
金属,ジューサー,,し
金属,シュレッダー機,,し
金属,照明器具,,し
金属,除湿機,,し
金属,水筒,,す
金属,炊飯器,,す
金属,スキャナー,,す
金属,スケール（メジャー）,,す
金属,スコップ,,す
金属,ステレオ,,す
金属,ストーブ,,す
金属,ストーブガード,,す
金属,スパナ,,す
金属,スピーカー,,す
金属,スプーン,,す
金属,スプレー缶,,す
金属,石油ストーブ,,せ
金属,石油ファンヒーター,,せ
金属,セラミックヒーター,,せ
金属,栓抜き,,せ
金属,扇風機,,せ
金属,掃除機,,せ
金属,体重計,,た
金属,タイヤチェーン,,た
金属,タイヤホイール,,た
金属,卓上コンロ,,た
金属,ダンベル,,た
金属,つめきり,,つ
金属,DVDプレーヤー,,て
金属,デジタルカメラ,,て
金属,鉄アレイ,,て
金属,電気あんか,,て
